category,seed_name,seed_red_id,resolved_name,resolved_red_id,user_id,note_id,note_type,display_title,liked_count,note_url
法学学者,Prof.王迎龙,942616515,Prof.王迎龙,942616515,5857c17e6a6a69338073a17d,678a79b300000000190145ed,normal,自我介绍一下下 ,117,https://www.xiaohongshu.com/explore/678a79b300000000190145ed?xsec_token=AB_JErFrk-31l0Iyw6G6grZJ9J0KsAGlaTktC28OdCwjo=&xsec_source=pc_search
法学学者,Prof.王迎龙,942616515,Prof.王迎龙,942616515,5857c17e6a6a69338073a17d,69aa47430000000028021ca8,normal,法大昌平雪景 ,12,https://www.xiaohongshu.com/explore/69aa47430000000028021ca8?xsec_token=ABc3Ff8QfXnMqNgtfIpJP8EbQ0EOFzZ6JQdh3sZAj_394=&xsec_source=pc_search
法学学者,Prof.王迎龙,942616515,Prof.王迎龙,942616515,5857c17e6a6a69338073a17d,69a172e1000000001a0318f6,normal,法大考研初试成绩，2月28日公布！,8,https://www.xiaohongshu.com/explore/69a172e1000000001a0318f6?xsec_token=AB0nvwzA1okGWUW3GzbbQSXZU35Vutcni3UHC-YwiDrgA=&xsec_source=pc_search
法学学者,Prof.王迎龙,942616515,Prof.王迎龙,942616515,5857c17e6a6a69338073a17d,699d8a70000000001a033abb,normal,节后第一天在北京市第一看守所会见,9,https://www.xiaohongshu.com/explore/699d8a70000000001a033abb?xsec_token=ABwfiTdwp4AJbrsAEa46R9pVTlXY80OHZObV4YjTXzyYo=&xsec_source=pc_search
法学学者,Prof.王迎龙,942616515,Prof.王迎龙,942616515,5857c17e6a6a69338073a17d,699b164b000000001a02bed9,normal,初六来办公室搬砖了 ,57,https://www.xiaohongshu.com/explore/699b164b000000001a02bed9?xsec_token=AB4ZMBc_ElLCSb_mVMgWMae0UbQTjLR4o8BDXC7KG6Oug=&xsec_source=pc_search
法学学者,Prof.王迎龙,942616515,Prof.王迎龙,942616515,5857c17e6a6a69338073a17d,6995498f000000001a028e18,normal,大年初二该不该去办公室？,11,https://www.xiaohongshu.com/explore/6995498f000000001a028e18?xsec_token=ABUG_MCEmYcrHAja3WVSn2ZLkMdToJ9oikfF6JB_Lqkuc=&xsec_source=pc_search
法学学者,Prof.王迎龙,942616515,Prof.王迎龙,942616515,5857c17e6a6a69338073a17d,69954463000000001a0252fa,normal,大年初一游北海公园 ,14,https://www.xiaohongshu.com/explore/69954463000000001a0252fa?xsec_token=ABUG_MCEmYcrHAja3WVSn2ZLXaI72K-PrrvrsLuwgIPKs=&xsec_source=pc_search
法学学者,Prof.王迎龙,942616515,Prof.王迎龙,942616515,5857c17e6a6a69338073a17d,6989cb9e000000000e00d397,normal,瑞雪兆丰年 ,11,https://www.xiaohongshu.com/explore/6989cb9e000000000e00d397?xsec_token=AB7RImL5pnEcBtEWRnDmxwUH7pnrsXTFjIYJzrP0PkZ0E=&xsec_source=pc_search
法学学者,Prof.王迎龙,942616515,Prof.王迎龙,942616515,5857c17e6a6a69338073a17d,696dc336000000001a027809,normal,苹果手机有一个功能，就是经常会把之前的照片推送到屏幕上。近期比较频繁，经常看到老,17,https://www.xiaohongshu.com/explore/696dc336000000001a027809?xsec_token=ABaaiyqJ577JIu6Jic_gM3cFMx-8GRSxfwqDXHtZAcuug=&xsec_source=pc_search
法学学者,Prof.王迎龙,942616515,Prof.王迎龙,942616515,5857c17e6a6a69338073a17d,695cd7a7000000001a01d58d,normal,中国政法大学法学院新年联欢会，在一众大佬前献丑了一首《至少还有你》。祝福大家新的,79,https://www.xiaohongshu.com/explore/695cd7a7000000001a01d58d?xsec_token=AB7aRlidSbO3e81nQahfb7Ap5QMjyEVFsSyGjXa5TxChE=&xsec_source=pc_search
法学学者,Prof.王迎龙,942616515,Prof.王迎龙,942616515,5857c17e6a6a69338073a17d,69564ff3000000001e02adec,normal,新年第一跑！ ,11,https://www.xiaohongshu.com/explore/69564ff3000000001e02adec?xsec_token=ABVZpsmVz_TBvn0YJjQO0KbSMiQh3npzIyi82YMOVycWY=&xsec_source=pc_search
法学学者,Prof.王迎龙,942616515,Prof.王迎龙,942616515,5857c17e6a6a69338073a17d,694e6d8c000000001e02c019,normal,感谢《中国刑事法杂志》刊发拙文！,65,https://www.xiaohongshu.com/explore/694e6d8c000000001e02c019?xsec_token=ABhnEIied7UXV-9y30auQgX4y9SDnhkKNIEldxGnXL4t4=&xsec_source=pc_search
法学学者,Prof.王迎龙,942616515,Prof.王迎龙,942616515,5857c17e6a6a69338073a17d,6945efbb000000001e030e2f,normal,又是一年考研时，预祝各位同学金榜题名，不负梦想！研究生考试 考研上岸 法学硕士,12,https://www.xiaohongshu.com/explore/6945efbb000000001e030e2f?xsec_token=ABCNjnBNAGDOO4bEB-2_xGWyu01iKtv2N148mGg49lUas=&xsec_source=pc_search
